sample ,population,chromosome,rawGenomicCount
HG03295,ESN,chr12,900
HG03295,ESN,chr13,
HG03295,ESN,chr14,
HG03295,ESN,chr15,31
HG03295,ESN,chr16,2
HG03295,ESN,chr17,1
HG03295,ESN,chr18,30
HG03295,ESN,chr19,6
HG03295,ESN,chr20,4
HG03295,ESN,chr21,32
HG03295,ESN,chr22,
HG03297,ESN,chr1,67
HG03297,ESN,chr2,12
HG03297,ESN,chr3,8
HG03297,ESN,chr4,39
HG03297,ESN,chr5,274
HG03297,ESN,chr6,7
HG03297,ESN,chr7,19
HG03297,ESN,chr8,2
HG03297,ESN,chr9,4
HG03297,ESN,chr10,12
HG03297,ESN,chr11,2
HG03297,ESN,chr12,66
HG03297,ESN,chr13,
HG03297,ESN,chr14,
HG03297,ESN,chr15,15
HG03297,ESN,chr16,3
HG03297,ESN,chr17,2
HG03297,ESN,chr18,14
HG03297,ESN,chr19,4
HG03297,ESN,chr20,5
HG03297,ESN,chr21,9
HG03297,ESN,chr22,1
HG03298,ESN,chr1,77
HG03298,ESN,chr2,18
HG03298,ESN,chr3,10
HG03298,ESN,chr4,48
HG03298,ESN,chr5,312
HG03298,ESN,chr6,4
HG03298,ESN,chr7,32
HG03298,ESN,chr8,1
HG03298,ESN,chr9,8
HG03298,ESN,chr10,8
HG03298,ESN,chr11,11
HG03298,ESN,chr12,95
HG03298,ESN,chr13,
HG03298,ESN,chr14,
HG03298,ESN,chr15,14
HG03298,ESN,chr16,8
HG03298,ESN,chr17,4
HG03298,ESN,chr18,22
HG03298,ESN,chr19,4
HG03298,ESN,chr20,3
HG03298,ESN,chr21,18
HG03298,ESN,chr22,3
HG03300,ESN,chr1,55
HG03300,ESN,chr2,18
HG03300,ESN,chr3,
HG03300,ESN,chr4,35
HG03300,ESN,chr5,875
HG03300,ESN,chr6,3
HG03300,ESN,chr7,8
HG03300,ESN,chr8,
HG03300,ESN,chr9,1
HG03300,ESN,chr10,8
HG03300,ESN,chr11,
HG03300,ESN,chr12,302
HG03300,ESN,chr13,
HG03300,ESN,chr14,
HG03300,ESN,chr15,17
HG03300,ESN,chr16,3
HG03300,ESN,chr17,
HG03300,ESN,chr18,7
HG03300,ESN,chr19,5
HG03300,ESN,chr20,1
HG03300,ESN,chr21,18
HG03300,ESN,chr22,
HG03301,ESN,chr1,72
HG03301,ESN,chr2,26
HG03301,ESN,chr3,3
HG03301,ESN,chr4,53
HG03301,ESN,chr5,1879
HG03301,ESN,chr6,3
HG03301,ESN,chr7,12
HG03301,ESN,chr8,4
HG03301,ESN,chr9,2
HG03301,ESN,chr10,8
HG03301,ESN,chr11,
HG03301,ESN,chr12,614
HG03301,ESN,chr13,
HG03301,ESN,chr14,
HG03301,ESN,chr15,13
HG03301,ESN,chr16,1
HG03301,ESN,chr17,1
HG03301,ESN,chr18,7
HG03301,ESN,chr19,5
HG03301,ESN,chr20,1
HG03301,ESN,chr21,14
HG03301,ESN,chr22,1
HG03303,ESN,chr1,42
HG03303,ESN,chr2,13
HG03303,ESN,chr3,8
HG03303,ESN,chr4,34
HG03303,ESN,chr5,440
HG03303,ESN,chr6,2
HG03303,ESN,chr7,18
HG03303,ESN,chr8,2
HG03303,ESN,chr9,6
HG03303,ESN,chr10,16
HG03303,ESN,chr11,7
HG03303,ESN,chr12,128
HG03303,ESN,chr13,
HG03303,ESN,chr14,1
HG03303,ESN,chr15,13
HG03303,ESN,chr16,6
HG03303,ESN,chr17,7
HG03303,ESN,chr18,15
HG03303,ESN,chr19,28
HG03303,ESN,chr20,7
HG03303,ESN,chr21,16
HG03303,ESN,chr22,
HG03304,ESN,chr1,41
HG03304,ESN,chr2,11
HG03304,ESN,chr3,8
HG03304,ESN,chr4,32
HG03304,ESN,chr5,377
HG03304,ESN,chr6,3
HG03304,ESN,chr7,7
HG03304,ESN,chr8,2
HG03304,ESN,chr9,2
HG03304,ESN,chr10,7
HG03304,ESN,chr11,3
HG03304,ESN,chr12,96
HG03304,ESN,chr13,
HG03304,ESN,chr14,
HG03304,ESN,chr15,10
HG03304,ESN,chr16,2
HG03304,ESN,chr17,
HG03304,ESN,chr18,12
HG03304,ESN,chr19,4
HG03304,ESN,chr20,2
HG03304,ESN,chr21,10
HG03304,ESN,chr22,1
HG03311,ESN,chr1,16
HG03311,ESN,chr2,1
HG03311,ESN,chr3,1
HG03311,ESN,chr4,15
HG03311,ESN,chr5,51
HG03311,ESN,chr6,1
HG03311,ESN,chr7,6
HG03311,ESN,chr8,1
HG03311,ESN,chr9,
HG03311,ESN,chr10,
HG03311,ESN,chr11,1
HG03311,ESN,chr12,5
HG03311,ESN,chr13,
HG03311,ESN,chr14,
HG03311,ESN,chr15,2
HG03311,ESN,chr16,1
HG03311,ESN,chr17,
HG03311,ESN,chr18,7
HG03311,ESN,chr19,3
HG03311,ESN,chr20,
HG03311,ESN,chr21,2
HG03311,ESN,chr22,
HG03313,ESN,chr1,24
HG03313,ESN,chr2,5
HG03313,ESN,chr3,1
HG03313,ESN,chr4,22
HG03313,ESN,chr5,70
HG03313,ESN,chr6,2
HG03313,ESN,chr7,7
HG03313,ESN,chr8,
HG03313,ESN,chr9,
HG03313,ESN,chr10,4
HG03313,ESN,chr11,2
HG03313,ESN,chr12,23
HG03313,ESN,chr13,
HG03313,ESN,chr14,
HG03313,ESN,chr15,11
HG03313,ESN,chr16,2
HG03313,ESN,chr17,
HG03313,ESN,chr18,13
HG03313,ESN,chr19,3
HG03313,ESN,chr20,2
HG03313,ESN,chr21,5
HG03313,ESN,chr22,3
HG03342,ESN,chr1,136
HG03342,ESN,chr2,41
HG03342,ESN,chr3,2
HG03342,ESN,chr4,74
HG03342,ESN,chr5,2389
HG03342,ESN,chr6,4
HG03342,ESN,chr7,14
HG03342,ESN,chr8,1
HG03342,ESN,chr9,8
HG03342,ESN,chr10,8
HG03342,ESN,chr11,3
HG03342,ESN,chr12,708
HG03342,ESN,chr13,1
HG03342,ESN,chr14,
HG03342,ESN,chr15,24
HG03342,ESN,chr16,10
HG03342,ESN,chr17,
HG03342,ESN,chr18,12
HG03342,ESN,chr19,8
HG03342,ESN,chr20,1
HG03342,ESN,chr21,26
HG03342,ESN,chr22,
HG03343,ESN,chr1,68
HG03343,ESN,chr2,16
HG03343,ESN,chr3,3
HG03343,ESN,chr4,31
HG03343,ESN,chr5,946
HG03343,ESN,chr6,
HG03343,ESN,chr7,8
HG03343,ESN,chr8,1
HG03343,ESN,chr9,3
HG03343,ESN,chr10,3
HG03343,ESN,chr11,1
HG03343,ESN,chr12,332
HG03343,ESN,chr13,
HG03343,ESN,chr14,
HG03343,ESN,chr15,8
HG03343,ESN,chr16,
HG03343,ESN,chr17,
HG03343,ESN,chr18,4
HG03343,ESN,chr19,1
HG03343,ESN,chr20,4
HG03343,ESN,chr21,12
HG03343,ESN,chr22,1
HG03351,ESN,chr1,24
HG03351,ESN,chr2,10
HG03351,ESN,chr3,4
HG03351,ESN,chr4,27
HG03351,ESN,chr5,47
HG03351,ESN,chr6,5
HG03351,ESN,chr7,13
HG03351,ESN,chr8,
HG03351,ESN,chr9,3
HG03351,ESN,chr10,4
HG03351,ESN,chr11,5
HG03351,ESN,chr12,14
HG03351,ESN,chr13,1
HG03351,ESN,chr14,
HG03351,ESN,chr15,5
HG03351,ESN,chr16,2
HG03351,ESN,chr17,
HG03351,ESN,chr18,10
HG03351,ESN,chr19,3
HG03351,ESN,chr20,3
HG03351,ESN,chr21,3
HG03351,ESN,chr22,
HG03352,ESN,chr1,19
HG03352,ESN,chr2,5
HG03352,ESN,chr3,4
HG03352,ESN,chr4,16
HG03352,ESN,chr5,31
HG03352,ESN,chr6,
HG03352,ESN,chr7,
HG03352,ESN,chr8,
HG03352,ESN,chr9,2
HG03352,ESN,chr10,2
HG03352,ESN,chr11,1
HG03352,ESN,chr12,7
HG03352,ESN,chr13,
HG03352,ESN,chr14,
HG03352,ESN,chr15,2
HG03352,ESN,chr16,1
HG03352,ESN,chr17,
HG03352,ESN,chr18,8
HG03352,ESN,chr19,
HG03352,ESN,chr20,1
HG03352,ESN,chr21,
HG03352,ESN,chr22,
HG03354,ESN,chr1,42
HG03354,ESN,chr2,6
HG03354,ESN,chr3,6
HG03354,ESN,chr4,26
HG03354,ESN,chr5,214
HG03354,ESN,chr6,2
HG03354,ESN,chr7,11
HG03354,ESN,chr8,2
HG03354,ESN,chr9,4
HG03354,ESN,chr10,3
HG03354,ESN,chr11,3
HG03354,ESN,chr12,31
HG03354,ESN,chr13,1
HG03354,ESN,chr14,
HG03354,ESN,chr15,10
HG03354,ESN,chr16,6
HG03354,ESN,chr17,2
HG03354,ESN,chr18,13
HG03354,ESN,chr19,7
HG03354,ESN,chr20,3
HG03354,ESN,chr21,9
HG03354,ESN,chr22,
HG03363,ESN,chr1,16
HG03363,ESN,chr2,3
HG03363,ESN,chr3,4
HG03363,ESN,chr4,18
HG03363,ESN,chr5,59
HG03363,ESN,chr6,1
HG03363,ESN,chr7,2
HG03363,ESN,chr8,1
HG03363,ESN,chr9,
HG03363,ESN,chr10,2
HG03363,ESN,chr11,1
HG03363,ESN,chr12,14
HG03363,ESN,chr13,1
HG03363,ESN,chr14,
HG03363,ESN,chr15,
HG03363,ESN,chr16,4
HG03363,ESN,chr17,
HG03363,ESN,chr18,4
HG03363,ESN,chr19,
HG03363,ESN,chr20,2
HG03363,ESN,chr21,6
HG03363,ESN,chr22,
HG03366,ESN,chr1,37
HG03366,ESN,chr2,7
HG03366,ESN,chr3,2
HG03366,ESN,chr4,24
HG03366,ESN,chr5,638
HG03366,ESN,chr6,3
HG03366,ESN,chr7,4
HG03366,ESN,chr8,
HG03366,ESN,chr9,1
HG03366,ESN,chr10,2
HG03366,ESN,chr11,1
HG03366,ESN,chr12,186
HG03366,ESN,chr13,
HG03366,ESN,chr14,
HG03366,ESN,chr15,15
HG03366,ESN,chr16,
HG03366,ESN,chr17,
HG03366,ESN,chr18,3
HG03366,ESN,chr19,7
HG03366,ESN,chr20,1
HG03366,ESN,chr21,5
HG03366,ESN,chr22,
HG03367,ESN,chr1,54
HG03367,ESN,chr2,11
HG03367,ESN,chr3,4
HG03367,ESN,chr4,50
HG03367,ESN,chr5,486
HG03367,ESN,chr6,1
HG03367,ESN,chr7,13
HG03367,ESN,chr8,2
HG03367,ESN,chr9,4
HG03367,ESN,chr10,4
HG03367,ESN,chr11,2
HG03367,ESN,chr12,168
HG03367,ESN,chr13,
HG03367,ESN,chr14,1
HG03367,ESN,chr15,17
HG03367,ESN,chr16,1
HG03367,ESN,chr17,
HG03367,ESN,chr18,7
HG03367,ESN,chr19,5
HG03367,ESN,chr20,3
HG03367,ESN,chr21,9
HG03367,ESN,chr22,
HG03369,ESN,chr1,94
HG03369,ESN,chr2,23
HG03369,ESN,chr3,4
HG03369,ESN,chr4,38
HG03369,ESN,chr5,1491
HG03369,ESN,chr6,1
HG03369,ESN,chr7,8
HG03369,ESN,chr8,1
HG03369,ESN,chr9,2
HG03369,ESN,chr10,2
HG03369,ESN,chr11,1
HG03369,ESN,chr12,470
HG03369,ESN,chr13,
HG03369,ESN,chr14,
HG03369,ESN,chr15,23
HG03369,ESN,chr16,3
HG03369,ESN,chr17,1
HG03369,ESN,chr18,7
HG03369,ESN,chr19,1
HG03369,ESN,chr20,3
HG03369,ESN,chr21,15
HG03369,ESN,chr22,
HG03370,ESN,chr1,109
HG03370,ESN,chr2,17
HG03370,ESN,chr3,7
HG03370,ESN,chr4,50
HG03370,ESN,chr5,1444
HG03370,ESN,chr6,4
HG03370,ESN,chr7,14
HG03370,ESN,chr8,2
HG03370,ESN,chr9,5
HG03370,ESN,chr10,6
HG03370,ESN,chr11,2
HG03370,ESN,chr12,531
HG03370,ESN,chr13,
HG03370,ESN,chr14,
HG03370,ESN,chr15,28
HG03370,ESN,chr16,4
HG03370,ESN,chr17,1
HG03370,ESN,chr18,11
HG03370,ESN,chr19,8
HG03370,ESN,chr20,2
HG03370,ESN,chr21,17
HG03370,ESN,chr22,
HG03378,MSL,chr1,70
HG03378,MSL,chr2,13
HG03378,MSL,chr3,7
HG03378,MSL,chr4,34
HG03378,MSL,chr5,308
HG03378,MSL,chr6,5
HG03378,MSL,chr7,20
HG03378,MSL,chr8,2
HG03378,MSL,chr9,5
HG03378,MSL,chr10,14
HG03378,MSL,chr11,6
HG03378,MSL,chr12,79
HG03378,MSL,chr13,1
HG03378,MSL,chr14,
HG03378,MSL,chr15,11
HG03378,MSL,chr16,6
HG03378,MSL,chr17,
HG03378,MSL,chr18,9
HG03378,MSL,chr19,5
HG03378,MSL,chr20,9
HG03378,MSL,chr21,6
HG03378,MSL,chr22,
HG03380,MSL,chr1,46
HG03380,MSL,chr2,15
HG03380,MSL,chr3,5
HG03380,MSL,chr4,24
HG03380,MSL,chr5,539
HG03380,MSL,chr6,
HG03380,MSL,chr7,4
HG03380,MSL,chr8,
HG03380,MSL,chr9,1
HG03380,MSL,chr10,9
HG03380,MSL,chr11,1
HG03380,MSL,chr12,130
HG03380,MSL,chr13,
HG03380,MSL,chr14,
HG03380,MSL,chr15,8
HG03380,MSL,chr16,3
HG03380,MSL,chr17,
HG03380,MSL,chr18,2
HG03380,MSL,chr19,4
HG03380,MSL,chr20,
HG03380,MSL,chr21,8
HG03380,MSL,chr22,1
HG03382,MSL,chr1,48
HG03382,MSL,chr2,7
HG03382,MSL,chr3,7
HG03382,MSL,chr4,34
HG03382,MSL,chr5,318
HG03382,MSL,chr6,2
HG03382,MSL,chr7,15
HG03382,MSL,chr8,2
HG03382,MSL,chr9,3
HG03382,MSL,chr10,11
HG03382,MSL,chr11,7
HG03382,MSL,chr12,69
HG03382,MSL,chr13,1
HG03382,MSL,chr14,
HG03382,MSL,chr15,16
HG03382,MSL,chr16,1
HG03382,MSL,chr17,2
HG03382,MSL,chr18,13
HG03382,MSL,chr19,14
HG03382,MSL,chr20,2
HG03382,MSL,chr21,24
HG03382,MSL,chr22,
HG03385,MSL,chr1,60
HG03385,MSL,chr2,9
HG03385,MSL,chr3,3
HG03385,MSL,chr4,58
HG03385,MSL,chr5,437
HG03385,MSL,chr6,6
HG03385,MSL,chr7,13
HG03385,MSL,chr8,1
HG03385,MSL,chr9,2
HG03385,MSL,chr10,5
HG03385,MSL,chr11,3
HG03385,MSL,chr12,124
HG03385,MSL,chr13,
HG03385,MSL,chr14,
HG03385,MSL,chr15,16
HG03385,MSL,chr16,1
HG03385,MSL,chr17,
HG03385,MSL,chr18,6
HG03385,MSL,chr19,5
HG03385,MSL,chr20,5
HG03385,MSL,chr21,10
HG03385,MSL,chr22,
HG03388,MSL,chr1,78
HG03388,MSL,chr2,21
HG03388,MSL,chr3,2
HG03388,MSL,chr4,66
HG03388,MSL,chr5,729
HG03388,MSL,chr6,1
HG03388,MSL,chr7,16
HG03388,MSL,chr8,4
HG03388,MSL,chr9,2
HG03388,MSL,chr10,10
HG03388,MSL,chr11,1
HG03388,MSL,chr12,245
HG03388,MSL,chr13,
HG03388,MSL,chr14,
HG03388,MSL,chr15,24
HG03388,MSL,chr16,3
HG03388,MSL,chr17,
HG03388,MSL,chr18,8
HG03388,MSL,chr19,8
HG03388,MSL,chr20,2
HG03388,MSL,chr21,12
HG03388,MSL,chr22,
HG03391,MSL,chr1,169
HG03391,MSL,chr2,34
HG03391,MSL,chr3,7
HG03391,MSL,chr4,122
HG03391,MSL,chr5,1822
HG03391,MSL,chr6,5
HG03391,MSL,chr7,24
HG03391,MSL,chr8,2
HG03391,MSL,chr9,7
HG03391,MSL,chr10,15
HG03391,MSL,chr11,7
HG03391,MSL,chr12,596
HG03391,MSL,chr13,
HG03391,MSL,chr14,
HG03391,MSL,chr15,36
HG03391,MSL,chr16,1
HG03391,MSL,chr17,2
HG03391,MSL,chr18,40
HG03391,MSL,chr19,9
HG03391,MSL,chr20,5
HG03391,MSL,chr21,31
HG03391,MSL,chr22,2
HG03394,MSL,chr1,12
HG03394,MSL,chr2,3
HG03394,MSL,chr3,2
HG03394,MSL,chr4,14
HG03394,MSL,chr5,41
HG03394,MSL,chr6,2
HG03394,MSL,chr7,6
HG03394,MSL,chr8,1
HG03394,MSL,chr9,3
HG03394,MSL,chr10,2
HG03394,MSL,chr11,1
HG03394,MSL,chr12,9
HG03394,MSL,chr13,1
HG03394,MSL,chr14,
HG03394,MSL,chr15,3
HG03394,MSL,chr16,1
HG03394,MSL,chr17,
HG03394,MSL,chr18,7
HG03394,MSL,chr19,2
HG03394,MSL,chr20,3
HG03394,MSL,chr21,2
HG03394,MSL,chr22,
HG03397,MSL,chr1,89
HG03397,MSL,chr2,17
HG03397,MSL,chr3,14
HG03397,MSL,chr4,57
HG03397,MSL,chr5,350
HG03397,MSL,chr6,4
HG03397,MSL,chr7,36
HG03397,MSL,chr8,2
HG03397,MSL,chr9,13
HG03397,MSL,chr10,10
HG03397,MSL,chr11,14
HG03397,MSL,chr12,124
HG03397,MSL,chr13,
HG03397,MSL,chr14,
HG03397,MSL,chr15,13
HG03397,MSL,chr16,6
HG03397,MSL,chr17,1
HG03397,MSL,chr18,22
HG03397,MSL,chr19,9
HG03397,MSL,chr20,8
HG03397,MSL,chr21,14
HG03397,MSL,chr22,2
HG03401,MSL,chr1,86
HG03401,MSL,chr2,27
HG03401,MSL,chr3,1
HG03401,MSL,chr4,25
HG03401,MSL,chr5,1006
HG03401,MSL,chr6,2
HG03401,MSL,chr7,10
HG03401,MSL,chr8,1
HG03401,MSL,chr9,1
HG03401,MSL,chr10,5
HG03401,MSL,chr11,2
HG03401,MSL,chr12,335
HG03401,MSL,chr13,
HG03401,MSL,chr14,
HG03401,MSL,chr15,17
HG03401,MSL,chr16,2
HG03401,MSL,chr17,
HG03401,MSL,chr18,13
HG03401,MSL,chr19,4
HG03401,MSL,chr20,3
HG03401,MSL,chr21,10
HG03401,MSL,chr22,
HG03410,MSL,chr1,57
HG03410,MSL,chr2,14
HG03410,MSL,chr3,1
HG03410,MSL,chr4,39
HG03410,MSL,chr5,1057
HG03410,MSL,chr6,3
HG03410,MSL,chr7,2
HG03410,MSL,chr8,
HG03410,MSL,chr9,1
HG03410,MSL,chr10,9
HG03410,MSL,chr11,1
HG03410,MSL,chr12,377
HG03410,MSL,chr13,
HG03410,MSL,chr14,
HG03410,MSL,chr15,14
HG03410,MSL,chr16,1
HG03410,MSL,chr17,
HG03410,MSL,chr18,8
HG03410,MSL,chr19,1
HG03410,MSL,chr20,1
HG03410,MSL,chr21,5
HG03410,MSL,chr22,
HG03419,MSL,chr1,81
HG03419,MSL,chr2,25
HG03419,MSL,chr3,3
HG03419,MSL,chr4,32
HG03419,MSL,chr5,1149
HG03419,MSL,chr6,4
HG03419,MSL,chr7,11
HG03419,MSL,chr8,
HG03419,MSL,chr9,2
HG03419,MSL,chr10,4
HG03419,MSL,chr11,1
HG03419,MSL,chr12,400
HG03419,MSL,chr13,
HG03419,MSL,chr14,1
HG03419,MSL,chr15,12
HG03419,MSL,chr16,3
HG03419,MSL,chr17,1
HG03419,MSL,chr18,4
HG03419,MSL,chr19,7
HG03419,MSL,chr20,2
HG03419,MSL,chr21,11
HG03419,MSL,chr22,1
HG03428,MSL,chr1,115
HG03428,MSL,chr2,29
HG03428,MSL,chr3,4
HG03428,MSL,chr4,72
HG03428,MSL,chr5,1167
HG03428,MSL,chr6,5
HG03428,MSL,chr7,18
HG03428,MSL,chr8,2
HG03428,MSL,chr9,2
HG03428,MSL,chr10,9
HG03428,MSL,chr11,1
HG03428,MSL,chr12,387
HG03428,MSL,chr13,
HG03428,MSL,chr14,
HG03428,MSL,chr15,34
HG03428,MSL,chr16,7
HG03428,MSL,chr17,
HG03428,MSL,chr18,9
HG03428,MSL,chr19,4
HG03428,MSL,chr20,2
HG03428,MSL,chr21,31
HG03428,MSL,chr22,
HG03432,MSL,chr1,19
HG03432,MSL,chr2,6
HG03432,MSL,chr3,2
HG03432,MSL,chr4,20
HG03432,MSL,chr5,49
HG03432,MSL,chr6,
HG03432,MSL,chr7,5
HG03432,MSL,chr8,3
HG03432,MSL,chr9,
HG03432,MSL,chr10,3
HG03432,MSL,chr11,4
HG03432,MSL,chr12,14
HG03432,MSL,chr13,1
HG03432,MSL,chr14,
HG03432,MSL,chr15,2
HG03432,MSL,chr16,1
HG03432,MSL,chr17,1
HG03432,MSL,chr18,2
HG03432,MSL,chr19,5
HG03432,MSL,chr20,4
HG03432,MSL,chr21,2
HG03432,MSL,chr22,
HG03433,MSL,chr1,111
HG03433,MSL,chr2,24
HG03433,MSL,chr3,2
HG03433,MSL,chr4,68
HG03433,MSL,chr5,1208
HG03433,MSL,chr6,6
HG03433,MSL,chr7,7
HG03433,MSL,chr8,4
HG03433,MSL,chr9,
HG03433,MSL,chr10,5
HG03433,MSL,chr11,5
HG03433,MSL,chr12,430
HG03433,MSL,chr13,
HG03433,MSL,chr14,
HG03433,MSL,chr15,25
HG03433,MSL,chr16,1
HG03433,MSL,chr17,1
HG03433,MSL,chr18,7
HG03433,MSL,chr19,9
HG03433,MSL,chr20,3
HG03433,MSL,chr21,24
HG03433,MSL,chr22,1
HG03436,MSL,chr1,48
HG03436,MSL,chr2,5
HG03436,MSL,chr3,2
HG03436,MSL,chr4,34
HG03436,MSL,chr5,510
HG03436,MSL,chr6,2
HG03436,MSL,chr7,10
HG03436,MSL,chr8,
HG03436,MSL,chr9,
HG03436,MSL,chr10,1
HG03436,MSL,chr11,1
HG03436,MSL,chr12,177
HG03436,MSL,chr13,1
HG03436,MSL,chr14,
HG03436,MSL,chr15,17
HG03436,MSL,chr16,
HG03436,MSL,chr17,
HG03436,MSL,chr18,2
HG03436,MSL,chr19,2
HG03436,MSL,chr20,1
HG03436,MSL,chr21,9
HG03436,MSL,chr22,
HG03437,MSL,chr1,81
HG03437,MSL,chr2,12
HG03437,MSL,chr3,3
HG03437,MSL,chr4,39
HG03437,MSL,chr5,852
HG03437,MSL,chr6,5
HG03437,MSL,chr7,3
HG03437,MSL,chr8,
HG03437,MSL,chr9,3
HG03437,MSL,chr10,7
HG03437,MSL,chr11,2
HG03437,MSL,chr12,332
HG03437,MSL,chr13,
HG03437,MSL,chr14,
HG03437,MSL,chr15,19
HG03437,MSL,chr16,2
HG03437,MSL,chr17,
HG03437,MSL,chr18,5
HG03437,MSL,chr19,2
HG03437,MSL,chr20,
HG03437,MSL,chr21,17
HG03437,MSL,chr22,
HG03439,MSL,chr1,96
HG03439,MSL,chr2,22
HG03439,MSL,chr3,2
HG03439,MSL,chr4,50
HG03439,MSL,chr5,1073
HG03439,MSL,chr6,1
HG03439,MSL,chr7,12
HG03439,MSL,chr8,3
HG03439,MSL,chr9,2
HG03439,MSL,chr10,9
HG03439,MSL,chr11,2
HG03439,MSL,chr12,420
HG03439,MSL,chr13,
HG03439,MSL,chr14,
HG03439,MSL,chr15,18
HG03439,MSL,chr16,
HG03439,MSL,chr17,1
HG03439,MSL,chr18,9
HG03439,MSL,chr19,2
HG03439,MSL,chr20,
HG03439,MSL,chr21,17
HG03439,MSL,chr22,
HG03442,MSL,chr1,48
HG03442,MSL,chr2,9
HG03442,MSL,chr3,2
HG03442,MSL,chr4,32
HG03442,MSL,chr5,496
HG03442,MSL,chr6,1
HG03442,MSL,chr7,12
HG03442,MSL,chr8,2
HG03442,MSL,chr9,6
HG03442,MSL,chr10,4
HG03442,MSL,chr11,3
HG03442,MSL,chr12,209
HG03442,MSL,chr13,
HG03442,MSL,chr14,
HG03442,MSL,chr15,15
HG03442,MSL,chr16,1
HG03442,MSL,chr17,1
HG03442,MSL,chr18,4
HG03442,MSL,chr19,10
HG03442,MSL,chr20,2
HG03442,MSL,chr21,12
HG03442,MSL,chr22,
HG03445,MSL,chr1,149
HG03445,MSL,chr2,37
HG03445,MSL,chr3,5
HG03445,MSL,chr4,66
HG03445,MSL,chr5,1595
HG03445,MSL,chr6,6
HG03445,MSL,chr7,18
HG03445,MSL,chr8,2
HG03445,MSL,chr9,4
HG03445,MSL,chr10,9
HG03445,MSL,chr11,3
HG03445,MSL,chr12,604
HG03445,MSL,chr13,
HG03445,MSL,chr14,
HG03445,MSL,chr15,20
HG03445,MSL,chr16,6
HG03445,MSL,chr17,2
HG03445,MSL,chr18,22
HG03445,MSL,chr19,6
HG03445,MSL,chr20,1
HG03445,MSL,chr21,25
HG03445,MSL,chr22,
HG03446,MSL,chr1,93
HG03446,MSL,chr2,19
HG03446,MSL,chr3,5
HG03446,MSL,chr4,51
HG03446,MSL,chr5,940
HG03446,MSL,chr6,5
HG03446,MSL,chr7,4
HG03446,MSL,chr8,1
HG03446,MSL,chr9,3
HG03446,MSL,chr10,7
HG03446,MSL,chr11,2
HG03446,MSL,chr12,335
HG03446,MSL,chr13,
HG03446,MSL,chr14,1
HG03446,MSL,chr15,21
HG03446,MSL,chr16,1
HG03446,MSL,chr17,2
HG03446,MSL,chr18,13
HG03446,MSL,chr19,4
HG03446,MSL,chr20,1
HG03446,MSL,chr21,20
HG03446,MSL,chr22,1
HG03449,MSL,chr1,59
HG03449,MSL,chr2,6
HG03449,MSL,chr3,1
HG03449,MSL,chr4,28
HG03449,MSL,chr5,1020
HG03449,MSL,chr6,1
HG03449,MSL,chr7,1
HG03449,MSL,chr8,
HG03449,MSL,chr9,2
HG03449,MSL,chr10,2
HG03449,MSL,chr11,1
HG03449,MSL,chr12,374
HG03449,MSL,chr13,
HG03449,MSL,chr14,
HG03449,MSL,chr15,7
HG03449,MSL,chr16,2
HG03449,MSL,chr17,
HG03449,MSL,chr18,4
HG03449,MSL,chr19,4
HG03449,MSL,chr20,1
HG03449,MSL,chr21,6
HG03449,MSL,chr22,
HG03451,MSL,chr1,90
HG03451,MSL,chr2,15
HG03451,MSL,chr3,12
HG03451,MSL,chr4,31
HG03451,MSL,chr5,204
HG03451,MSL,chr6,3
HG03451,MSL,chr7,27
HG03451,MSL,chr8,4
HG03451,MSL,chr9,16
HG03451,MSL,chr10,15
HG03451,MSL,chr11,8
HG03451,MSL,chr12,74
HG03451,MSL,chr13,1
HG03451,MSL,chr14,1
HG03451,MSL,chr15,20
HG03451,MSL,chr16,12
HG03451,MSL,chr17,6
HG03451,MSL,chr18,25
HG03451,MSL,chr19,6
HG03451,MSL,chr20,4
HG03451,MSL,chr21,7
HG03451,MSL,chr22,4
HG03452,MSL,chr1,62
HG03452,MSL,chr2,12
HG03452,MSL,chr3,17
HG03452,MSL,chr4,44
HG03452,MSL,chr5,237
HG03452,MSL,chr6,5
HG03452,MSL,chr7,27
HG03452,MSL,chr8,6
HG03452,MSL,chr9,12
HG03452,MSL,chr10,12
HG03452,MSL,chr11,12
HG03452,MSL,chr12,92
HG03452,MSL,chr13,1
HG03452,MSL,chr14,1
HG03452,MSL,chr15,11
HG03452,MSL,chr16,4
HG03452,MSL,chr17,3
HG03452,MSL,chr18,19
HG03452,MSL,chr19,5
HG03452,MSL,chr20,5
HG03452,MSL,chr21,13
HG03452,MSL,chr22,
HG03455,MSL,chr1,67
HG03455,MSL,chr2,16
HG03455,MSL,chr3,3
HG03455,MSL,chr4,36
HG03455,MSL,chr5,908
HG03455,MSL,chr6,3
HG03455,MSL,chr7,5
HG03455,MSL,chr8,
HG03455,MSL,chr9,1
HG03455,MSL,chr10,9
HG03455,MSL,chr11,2
HG03455,MSL,chr12,300
HG03455,MSL,chr13,
HG03455,MSL,chr14,
HG03455,MSL,chr15,15
HG03455,MSL,chr16,1
HG03455,MSL,chr17,1
HG03455,MSL,chr18,7
HG03455,MSL,chr19,6
HG03455,MSL,chr20,5
HG03455,MSL,chr21,23
HG03455,MSL,chr22,
HG03457,MSL,chr1,27
HG03457,MSL,chr2,6
HG03457,MSL,chr3,1
HG03457,MSL,chr4,22
HG03457,MSL,chr5,59
HG03457,MSL,chr6,1
